Dish Name,Carbohydrates (g),Protein (g),Fats (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg)
Indian lamb and egg curry (Nargisi kofta),Carbohydrates (g),3.84,34.7,0.75,0.6,57.44,12.91,0.55,7.67,44.36
Soya chunks sweet and sour (Nutrinugget sweet and sour),Carbohydrates (g),2.85,55.99,1.1,0.86,2257.67,13.89,0.7,37.78,40.59
Soya chunks korma (Nutrinugget korma),Carbohydrates (g),3.86,9.5,4.66,2.57,148.98,89.7,1.18,11.59,49.69
Mushroom matar,Carbohydrates (g),2.79,4.11,1.39,3.13,61.63,21.42,0.81,39.15,54.07
Soya chunks and peas (Nutrinugget matar),Carbohydrates (g),3.03,5.11,1.64,2.86,70.97,20.32,0.99,39.15,52.1
Vegetable yakhni,Carbohydrates (g),1.18,43.8,1.44,0.61,38.05,43.67,0.24,5.43,60.84
Spinach mushroom (Palak mushroom),Carbohydrates (g),1.94,2.96,1,2.27,70.97,49.75,1.69,60.21,232.9
Vegetarian nargisi kofta curry,Carbohydrates (g),2.29,32.94,1.65,0.86,73.56,47.09,0.38,27.25,57.94
Roast chicken,Carbohydrates (g),20.49,13.06,0.05,0.03,71.71,13.61,0.79,0.3,13.16
Shahi chicken masala,Carbohydrates (g),9.82,12.02,2.86,0.96,142.56,82.68,0.89,9.92,65.41
Tomato chicken,Carbohydrates (g),10.57,6.71,0.93,1.42,104.83,21.24,0.87,24.53,24.19
Creamy chicken,Carbohydrates (g),13.52,9.57,2.11,0.69,97.08,50.37,0.82,7.46,32.64
Broccoli chicken ala king,Carbohydrates (g),7.97,7.57,2.49,1.92,104.01,73.36,0.78,79.81,105.46
Ginger chicken,Carbohydrates (g),8.24,8.24,1.95,1.21,365.86,18.41,0.96,49.96,64.3
Chicken sweet and sour,Carbohydrates (g),6.92,47.59,0.89,0.58,1809.94,21.98,0.93,37.78,50.11
Chicken korma,Carbohydrates (g),9.83,9.67,3.32,1.82,119.21,68.66,1.06,10.02,58.86
Bengal fish curry (Bengali machli curry),Carbohydrates (g),7.26,7.03,2.39,1.93,76.38,44.44,0.85,9.39,46.45
Fish finger,Carbohydrates (g),5.66,55.82,0.17,0.34,103.55,11.38,0.38,14.13,34.81
Fish in coconut milk (Nariyal ke doodh ke saath machli),Carbohydrates (g),8.66,4.43,1.55,1.52,73.93,21.94,0.91,10.71,38
Prawn curry (with coconut) (Jhinga curry),Carbohydrates (g),8.54,6.93,2.03,1.56,375.86,37.25,0.96,3.72,43.62
Baked stuffed fish,Carbohydrates (g),16.14,5.43,0.35,0.38,74.36,18.8,0.35,13.01,67.06
Fish pie,Carbohydrates (g),9.25,5.77,1.13,0.76,101.8,36.15,0.46,27.02,37.04
Crispy baked fish,Carbohydrates (g),10.95,6.41,1.53,1.21,192.42,60.04,0.55,16.97,46.78
Fish souffle,Carbohydrates (g),10.51,8.55,2.09,0.19,92.45,63.87,0.59,2.41,45.24
Potato curry (Aloo ki sabzi),Carbohydrates (g),1.52,4.47,1.58,2.42,78.4,23.74,0.97,42.18,35.58
Egg curry (Anda curry),Carbohydrates (g),5.38,8.81,1.9,2.09,142.12,41.59,1.52,19.03,44.73
Vegetable curry with coconut ,Carbohydrates (g),2.77,4.66,1.41,3.35,43.4,19.63,0.95,69.6,87.67
Curd with potatoes (Dahi aloo),Carbohydrates (g),1.56,2.72,1.82,1.19,51.99,36.36,0.47,42.93,44.72
Potato kofta curry (Aloo kofta curry),Carbohydrates (g),0.56,49.08,0.63,0.56,30.12,7.77,0.26,46.64,48.57
Yam kofta curry (Zimikand/Suran kofta curry),Carbohydrates (g),0.71,33.84,0.63,1.04,42.22,8.35,0.31,36.07,43.47
Jackfruit kofta curry (Kathal ka kofta curry),Carbohydrates (g),0.8,33.83,2.4,0.96,40.04,11.36,0.24,27.49,63.24
Spinach and potato (Palak aloo),Carbohydrates (g),1.63,2.82,0.93,2.04,62.46,43.67,1.59,78.73,242
Mooli bhujia,Carbohydrates (g),1.69,7.25,1.07,2.36,89.73,131.88,2.37,80.77,75.87
Bathua bhujia,Carbohydrates (g),2.26,7.29,1.08,3.8,81.99,165.84,2.36,66.6,71.68
Cabbage rolls (dry) ((Pattagobhi rolls) (dry)),Carbohydrates (g),8.21,9.36,1.26,1.84,118.05,31.54,0.98,12.69,19.01
Cabbage rolls (curry) ((Pattagobhi rolls)(curry)),Carbohydrates (g),5.76,8.17,3.81,2.35,123.98,29.82,0.95,26.91,34.04
Dry arbi (Sookhi arbi),Carbohydrates (g),2.12,8.97,1.55,2.47,81.25,22.77,0.68,8.11,32.76
Masala arbi,Carbohydrates (g),3.01,11.9,0.81,3.1,261.31,32.08,0.99,1.9,20.12
Peas brinjal bhartha (Matar baingan bhartha),Carbohydrates (g),2.05,6.05,1.57,3.63,63.65,19.63,0.63,27.86,82.49
