Dish Name,Carbohydrates (g),Protein (g),Fats (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg)
Paneer soup,Carbohydrates (g),3.22,2.8,1.98,0.28,68.03,82.76,0.3,7.59,106.5
Curried Cauliflower soup,Carbohydrates (g),6.72,9.77,1.79,2.34,7311.44,37.25,2.12,51.86,53.08
Millet soup,Carbohydrates (g),11.26,12.57,1.45,2.82,10918.83,65.21,2.74,4.23,26.39
Lemon coriander soup,Carbohydrates (g),2.27,6.26,2.2,6.77,219.17,102.57,3.47,8.6,12.47
Garlic soup,Carbohydrates (g),2.38,17.62,2.39,1.66,179.26,60.55,0.73,11.12,21.85
Dal makhani,Carbohydrates (g),3.32,3.06,0.8,2.27,41.85,20.62,1.23,9.19,75.16
Dalma,Carbohydrates (g),4.91,4.58,3.1,2.16,49.35,54.28,2.1,36.63,137.41
Split bengal gram dal (Channa dal),Carbohydrates (g),4.15,4.62,0.98,3.72,46.4,21.99,1.92,13.38,103.45
Horsegram dal (Kulthi dal) ,Carbohydrates (g),2.91,1.13,0.72,1.52,63.63,38.22,1.3,13.98,86.1
Panchmel dal,Carbohydrates (g),4.63,5.36,0.75,3.2,79.46,23.05,1.42,8.49,79.58
Dal dhokli,Carbohydrates (g),2.96,2.47,1.12,1.86,37.53,14.54,0.79,2.77,45.31
Gujarati handvo ,Carbohydrates (g),8.24,4.8,2.51,4.95,308.55,68.21,2.03,31.39,374.11
Sev (Omapodi/Karapusa),Carbohydrates (g),5.12,60.08,0.53,2.35,53.19,13.95,0.72,0,59.29
Papdi,Carbohydrates (g),1.83,72.11,0.31,0.56,28.91,6.06,0.44,0.04,5.01
Jowar dosa,Carbohydrates (g),8.5,10.28,0.59,5.56,97.25,19.46,2.03,0,9.63
Bread roll,Carbohydrates (g),2.85,40.25,0.94,1.45,139.34,44.83,0.71,6.79,15.69
Soya seekh kebab,Carbohydrates (g),5.4,5.88,0.51,2.24,92.25,15.67,1.26,8.56,14.38
Classic seasoned black beans,Carbohydrates (g),8.01,8.28,0.44,3.51,7989.07,40.11,1.9,8.54,4.61
Maa chaane ki dal,Carbohydrates (g),19.8,9.5,1.05,13.45,43.31,68.65,5.97,1.43,102.41
Garlic chickpea soup (Lahasun aur chane ka shoraba),Carbohydrates (g),4.45,2.01,2.65,2.84,79.73,13.93,0.96,13.24,380.59
White sauce (thin),Carbohydrates (g),3.31,8.41,4.58,0.07,23.91,110.2,0.19,,
White sauce (medium),Carbohydrates (g),3.36,11.76,4.32,0.14,22.59,103.53,0.22,,
White sauce (thick),Carbohydrates (g),3.43,17.19,3.9,0.24,20.45,92.74,0.27,,
Cheese sauce,Carbohydrates (g),7.68,15.12,4.53,0.12,317.38,255.14,0.31,,
Egg sauce,Carbohydrates (g),5.97,11.08,3.19,0.12,51.54,89.49,0.65,,
Mushroom sauce,Carbohydrates (g),3.39,10.51,3.86,0.47,20.94,94.1,0.22,,
Mustard sauce,Carbohydrates (g),3.98,12.17,4.22,0.13,22.16,109.03,0.44,,
Brown sauce,Carbohydrates (g),11.92,23.67,0.13,1.69,14174.59,40.44,2.46,,
Classic italian pasta,Carbohydrates (g),0.57,2.45,2.94,1.36,49.04,19.55,0.41,,
Pasta spinach sauce,Carbohydrates (g),1.76,7.9,1.04,0.86,115.79,58.57,1.23,,
Pasta cheese sauce,Carbohydrates (g),4.33,10.84,4.22,0.14,255.95,152.68,0.25,,
Mayonnaise,Carbohydrates (g),1.86,84.52,1.44,0.11,272.89,15.36,0.51,,
Low calorie quick mayonnaise,Carbohydrates (g),1.41,24.35,0.83,0.06,165.94,6.47,0.25,,
Thousand island dressing,Carbohydrates (g),1.37,42.87,3.1,0.46,946.1,9.11,0.45,,
Curd dip,Carbohydrates (g),5.04,3.36,7.12,0.1,301.07,167.17,0.25,,
Short crust pastry,Carbohydrates (g),6.11,23.98,3.18,1.58,97.2,16.9,1.02,,
Choux pastry,Carbohydrates (g),5.55,14.96,1.5,0.56,132.28,19.43,0.83,,
Flaky pastry,Carbohydrates (g),4.69,31.99,0.81,1.25,178.52,9.28,0.83,,
Sponge cake ,Carbohydrates (g),9.18,4.74,26.33,0.69,64.61,30.22,1.47,,
Glace icing,Carbohydrates (g),0.01,0.01,85.35,0,9.88,1.95,0.41,,
Royal icing,Carbohydrates (g),1.74,0.02,85.57,0,36.5,2.87,0.42,,
American frosting,Carbohydrates (g),1.05,0.01,67.46,0,19.33,7.05,0.14,,
Gum icing,Carbohydrates (g),5.94,0,52.63,0,29.32,18.62,0.4,,
Channa murmura premix,Carbohydrates (g),10.59,3.28,1.52,8.21,206.28,21.36,4.58,,
Cracked wheat and green gram dal premix (Dalia moong dal premix),Carbohydrates (g),15.89,5.11,0.63,11.66,3.25,49.03,4.28,,
Rice flakes and roasted channa ,Carbohydrates (g),10.57,2.94,1.31,8.84,205.51,17.23,4.51,,
Spinach soup in milk ,Carbohydrates (g),2.89,3.2,3.34,0.79,31.16,106.1,1.08,,
Vegetable soup,Carbohydrates (g),2.22,1.55,1.61,3.01,170.68,18.1,0.63,,
Mashed banana with milk,Carbohydrates (g),2.51,2.99,11.35,0.71,16.99,78.64,0.23,,
Poha with curd (Poha aur dahi),Carbohydrates (g),6.01,4.65,5.46,1.09,325.07,140.9,1.61,,
Potato with curd,Carbohydrates (g),3.19,1.33,3.3,1.02,190.9,85.41,0.38,,
Sweet wheat porridge (Sweet dalia),Carbohydrates (g),5.11,2.79,12.23,2.37,24.63,99.18,1.98,,
Vegetable khichdi/khichri,Carbohydrates (g),5.61,4.53,3.71,2.45,193.55,100.54,1.09,,
Moong dal mixture,Carbohydrates (g),4.62,1,24.68,1.9,29.6,70.53,1.25,,
Cracked wheat khichri/khichdi (Dalia khichri/khichdi),Carbohydrates (g),7.56,5.52,3.79,3.74,224.95,123.04,2.17,,
Stewed apple,Carbohydrates (g),0.17,0.37,20.45,1.48,1.53,9.25,0.18,,
Lemon squash (Nimbu ka squash),Carbohydrates (g),0.15,0.06,48.88,0,15.01,9.85,0.18,,
Orange squash (Santre ka squash),Carbohydrates (g),0.22,0.04,50.56,0.4,14.85,10.62,0.34,,
Lichi squash,Carbohydrates (g),0.3,0.08,51.31,0.41,14.56,6.39,0.34,,
Mango squash (Aam ka squash),Carbohydrates (g),0.17,0.17,50.84,0.58,14.81,9.47,0.25,,
Pineapple squash (Ananas ka squash),Carbohydrates (g),0.16,0.05,51.08,1.06,14.84,7.96,0.18,,
Lemon and ginger squash (Nimbu aur adrak ka squash),Carbohydrates (g),0.54,0.21,42.53,1.07,16.19,11.18,0.52,,
Apple jam (Seb ka murabba),Carbohydrates (g),0.14,0.32,46.76,1.29,2.71,10.84,0.21,,
Plum jam (Aloo bukhara jam),Carbohydrates (g),0.31,0.19,45.25,1,2.67,7.5,0.2,,
Pineapple jam ,Carbohydrates (g),0.32,0.15,37.44,2.2,2.45,10.47,0.24,,
Guava jelly (Amrood ki jelly),Carbohydrates (g),1.11,0.25,27.38,6.61,3.36,16.55,0.29,,
Orange marmalade (Santray ka murabba),Carbohydrates (g),0.66,0.13,25.09,1.97,2.31,17.59,0.63,,
Carrot murabba (Gajar ka murabba),Carbohydrates (g),0.32,0.16,44.83,1.39,19.53,15.86,0.28,,
Gooseberry marmalade (Amla murabba),Carbohydrates (g),0.14,0.03,28.61,0,216.89,16.4,0.38,,
Ginger candy (Adrak ki candy),Carbohydrates (g),0.69,0.27,47.99,1.67,5.4,10.43,0.68,,
Mango pickle (Aam ka achaar),Carbohydrates (g),1.6,17.89,1.79,3.68,3429.94,48.97,1.44,,
Mixed vegetable pickle (Sabziyoon ka achaar),Carbohydrates (g),1.9,19.68,2.77,2.76,2488.32,42.81,2.12,,
Sweet lemon pickle (Neembu ka meetha achaar),Carbohydrates (g),1.22,0.21,14.63,2.13,6415.9,42.57,1.02,,
Plum chutney (Aloo bukhara ki chutney),Carbohydrates (g),0.47,0.29,43.9,1.37,216.81,12.38,0.34,,
Raw mango chutney (Kachhe aam/Kairi ki chutney),Carbohydrates (g),0.51,0.16,45.22,2.17,480.68,25.92,0.48,,
Tomato sauce,Carbohydrates (g),0.81,0.27,5.69,1.79,174.79,13,0.31,,
Tomato puree,Carbohydrates (g),0.75,0.25,2.32,1.56,244.99,8.91,0.22,,
Garam masala,Carbohydrates (g),9.89,10.97,1.79,35.56,58.33,609.77,14.51,,
Chat masala,Carbohydrates (g),8.19,9.91,0.79,18.62,11873.64,519.5,13.27,,
Kashmiri masala,Carbohydrates (g),8.26,31.03,2.41,12.12,3106.14,303.49,14.72,,
Rasam powder (Rasam masala),Carbohydrates (g),12.04,11.8,1.91,35.71,38.78,562.15,14.72,,
Sambar powder (Sambar masala),Carbohydrates (g),12.5,15.58,1.87,34.56,27.66,439.95,12.63,,
Tartare sauce,Carbohydrates (g),1.44,66.12,2.18,0.42,256.95,21.06,0.56,,
Barbeque sauce,Carbohydrates (g),0.96,4.51,18.88,0.69,504.95,28.61,1.15,,
Bread sauce,Carbohydrates (g),3.46,7.05,4.63,0.56,88.84,110.72,0.31,,
Green chilli sauce,Carbohydrates (g),1.25,0.27,5.36,1.77,1037.04,9.89,0.64,,
Home made plain noodles,Carbohydrates (g),6.21,3.56,1.07,1.65,182.07,12.27,1.07,,
Dal moong,Carbohydrates (g),2.2,1.62,0.13,1.08,117.74,7.69,0.52,,
Cumin seeds baghar (Jeera baghar/tadka),Carbohydrates (g),3.34,78.77,0.49,6.01,177.58,177.77,5.09,,
Onion tomato baghar (Pyaaz tamatar ka tadka),Carbohydrates (g),1.26,11.98,3.51,2.12,31.33,20.45,0.63,,
Mustard seeds baghar (Mustard seed tadka),Carbohydrates (g),4.73,54.3,1.14,9.74,8.9,182.93,4.14,,
Hot cherry sauce,Carbohydrates (g),0.13,0.07,17.65,0,105.81,24.82,0.45,,
Apple jelly (Seb ki jelly),Carbohydrates (g),0.1,0.21,38.18,0.86,2.14,7.89,0.15,,
Marmalade (Murabba),Carbohydrates (g),0.23,0.04,37.29,0.43,2.16,9.84,0.34,,
Plum squash (Aloo bukhara squash),Carbohydrates (g),0.16,0.1,55.02,0.52,12.71,6.9,0.16,,
Lemon green chilli pickle (Nimboo aur hari mirch ka achaar),Carbohydrates (g),0.85,0.24,1,1.07,7559.38,20.05,0.55,,
Brinjal pickle (Baingan ka achaar),Carbohydrates (g),2.24,12.98,1.07,4.62,3507.59,37.28,2.16,,
Sweet and sour tomato pickle (Khatta meetha tamatar ka achaar),Carbohydrates (g),1.26,3.24,4.31,2.2,1281.94,15.18,0.54,,
Jhatpat achar with carrot (Jhatpat achaar gajar ke saath),Carbohydrates (g),1.98,6.55,3.04,5.08,2067.33,54.31,2.32,,
Tomato chutney (Tamatar ki chutney),Carbohydrates (g),0.97,6.01,30.02,1.49,823.65,25.34,0.96,,
Tomato ketchup,Carbohydrates (g),0.91,0.3,4.68,1.9,177.97,15.33,0.36,,
Bengal 5 Spice Blend (Panch Phoran),Carbohydrates (g),18.26,22.16,1.4,18.4,51.43,523,13.37,,
